"filename", "language", "JSON", "SCSS", "JavaScript", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"d:\02Programacion\06Ionic5\3-componentes\angular.json", "JSON", 107, 0, 0, 0, 0, 0, 81, 0, 188
"d:\02Programacion\06Ionic5\3-componentes\e2e\protractor.conf.js", "JavaScript", 0, 0, 24, 0, 0, 0, 2, 3, 29
"d:\02Programacion\06Ionic5\3-componentes\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 4, 15
"d:\02Programacion\06Ionic5\3-componentes\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\02Programacion\06Ionic5\3-componentes\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\02Programacion\06Ionic5\3-componentes\ionic.config.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\02Programacion\06Ionic5\3-componentes\karma.conf.js", "JavaScript", 0, 0, 28, 0, 0, 0, 2, 2, 32
"d:\02Programacion\06Ionic5\3-componentes\package-lock.json", "JSON", 13835, 0, 0, 0, 0, 0, 0, 1, 13836
"d:\02Programacion\06Ionic5\3-componentes\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 1, 55
"d:\02Programacion\06Ionic5\3-componentes\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 3, 39
"d:\02Programacion\06Ionic5\3-componentes\src\app\app.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\02Programacion\06Ionic5\3-componentes\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\02Programacion\06Ionic5\3-componentes\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 1, 11, 48
"d:\02Programacion\06Ionic5\3-componentes\src\app\app.component.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 4, 28
"d:\02Programacion\06Ionic5\3-componentes\src\app\app.module.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 1, 5, 32
"d:\02Programacion\06Ionic5\3-componentes\src\app\component\component.module.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 1, 3, 19
"d:\02Programacion\06Ionic5\3-componentes\src\app\component\header\header.component.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\02Programacion\06Ionic5\3-componentes\src\app\component\header\header.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\02Programacion\06Ionic5\3-componentes\src\app\component\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"d:\02Programacion\06Ionic5\3-componentes\src\app\component\header\header.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 6, 17
"d:\02Programacion\06Ionic5\3-componentes\src\app\pages\action-sheet\action-sheet-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\02Programacion\06Ionic5\3-componentes\src\app\pages\action-sheet\action-sheet.module.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 5, 23
